id;DS100;name;VERKEHR;longitude;latitude
8000073;RSI;Singen(Hohentwiel);FV;8.840383;47.758438
8012998;USGN;Singen(Thür);nur DPN;11.067263;50.727804
8005576;FSL;Singlis;RV;9.323773;51.058605
8005577;FSI;Sinn;RV;8.324932;50.649827
8070097;RSMM;Sinsheim Museum/Arena;RV;8.899932;49.241239
8005578;RSM;Sinsheim(Elsenz) Hbf;RV;8.8751;49.250353
8005587;RSZM;Sinzheim;RV;8.158429;48.75988
8005588;RSZN;Sinzheim Nord;RV;8.169792;48.770819
8005580;KSIZ;Sinzig(Rhein);RV;7.258279;50.546982
8005581;NSIH;Sinzing;nur DPN;12.037653;48.990796
8005582;RSIN;Sipplingen;RV;9.095524;47.795587
8013000;USDF;Sitzendorf-Unterweißbach;RV;11.155399;50.627313
8000076;ESOT;Soest;FV;8.104589;51.578419
8013002;DSOL;Sohl;nur DPN;12.282808;50.275131
8013003;DSOH;Sohland;nur DPN;14.431926;51.053738
8005597;KSGR;Solingen Grünewald;nur DPN;7.079004;51.163899
8000087;KSO;Solingen Hbf;FV;7.004187;51.160766
8005598;KSM;Solingen Mitte;nur DPN;7.088716;51.16574
8006714;KSV;Solingen Vogelpark;RV;6.992398;51.166711
8005590;KSS;Solingen-Schaberg;nur DPN;7.128182;51.163206
8070865;RSLA;Söllingen Kapellenstraße;RV;8.549618;48.983956
8007866;RSLR;Söllingen Reetzstr.;RV;8.540793;48.991053
8005585;RSL;Söllingen(b Karlsr);RV;8.543543;48.987754
8013004;USOL;Sollstedt;nur DPN;10.529848;51.413673
8005592;FSOL;Solms;nur DPN;8.406693;50.545585
8005593;MSO;Solnhofen;RV;10.993983;48.891987
8013005;LSK;Solpke;RV;11.294178;52.500416
8005594;ASON;Soltau Nord;nur DPN;9.861013;53.001364
8000088;HSO;Soltau(Han);nur DPN;9.831109;52.983017
8000445;HSDK;Soltendieck;RV;10.761416;52.874209
8010328;USD;Sömmerda;RV;11.127532;51.165186
8005600;ESON;Sondern;nur DPN;7.842578;51.073085
8005601;TSOD;Sondernach;RV;9.618849;48.36696
8005602;RSOH;Sondernheim;RV;8.360272;49.194981
8010329;USH;Sondershausen;RV;10.849193;51.370054
8013008;USO;Sonneberg(Thür)Hbf;RV;11.168848;50.355078
8013009;USON;Sonneberg(Thür)Nord;nur DPN;11.20755;50.365478
8013010;USOO;Sonneberg(Thür)Ost;nur DPN;11.201394;50.352304
8013011;USOW;Sonneberg(Thür)West;nur DPN;11.159243;50.368091
8005607;MSHM;Sontheim(Schwab);RV;10.345372;48.012172
8005608;TSON;Sontheim-Brenz;RV;10.284863;48.559324
8005609;MSF;Sonthofen;FV;10.272344;47.513241
8005610;FSON;Sontra;nur DPN;9.930934;51.072153
8017040;LSPH;Sophienhof;nur DPN;10.790197;51.641234
8017024;LSOR;Sorge;nur DPN;10.697094;51.693291
8005586;ASOE;Sörup;RV;9.669912;54.716662
8005613;AS;Sottrum;nur DPN;9.25003;53.101242
8005614;MSY;Soyen;RV;12.209744;48.108085
8005616;TSP;Spaichingen;RV;8.740147;48.068987
8005617;TSPM;Spaichingen Mitte;nur DPN;8.730425;48.078502
8007066;ASPS;Sparrieshoop;nur DPN;9.685207;53.781294
8005622;KSPA;Spay;RV;7.645473;50.255544
8013015;DSPR;Spechtritz;nur DPN;13.638817;50.952635
8005623;FSPE;Speele;RV;9.563559;51.377458
8005624;SSPE;Speicher;RV;6.615911;49.929184
8005625;NSKN;Speikern;RV;11.336992;49.528639
